단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
64960,SNT모티브보통주,SNT모티브,,42550.0
100840,SNT에너지보통주,SNT에너지,,12610.0
36530,SNT홀딩스보통주,SNT홀딩스,,22650.0
5610,SPC삼립보통주,SPC삼립,,54000.0
465770,STX그린로지스보통주,STX그린로지스,,14300.0
11810,STX보통주,STX,,6320.0
77970,STX엔진보통주,STX엔진,,15250.0
71970,STX중공업보통주,STX중공업,,23550.0
84870,TBH글로벌보통주,TBH글로벌,,1349.0
2710,TCC스틸보통주,TCC스틸,,34650.0
24070,WISCOM보통주,WISCOM,,2250.0
79940,가비아,가비아,,13740.0
78890,가온그룹,가온그룹,,4630.0
500,가온전선보통주,가온전선,,41750.0
399720,가온칩스,가온칩스,,50000.0
296520,가이아코퍼레이션,가이아코퍼레이션,,1950.0
36620,감성코퍼레이션,감성코퍼레이션,,3305.0
860,강남제비스코보통주,강남제비스코,,26900.0
198440,강동씨앤엘,강동씨앤엘,,1982.0
217730,강스템바이오텍,강스템바이오텍,,1700.0
35250,강원랜드보통주,강원랜드,,14480.0
114190,강원에너지,강원에너지,,12310.0
94480,갤럭시아머니트리,갤럭시아머니트리,,7110.0
11420,갤럭시아에스엠보통주,갤럭시아에스엠,,2300.0
39240,경남스틸,경남스틸,,2920.0
53950,경남제약,경남제약,,1201.0
2100,경농보통주,경농,,9690.0
9450,경동나비엔보통주,경동나비엔,,56500.0
267290,경동도시가스보통주,경동도시가스,,19250.0
12320,경동인베스트보통주,경동인베스트,,81200.0
11040,경동제약,경동제약,,6920.0
50,경방보통주,경방,,6920.0
214390,경보제약보통주,경보제약,,7440.0
12610,경인양행보통주,경인양행,,3310.0
9140,경인전자보통주,경인전자,,21600.0
24910,경창산업,경창산업,,2355.0
13580,계룡건설산업보통주,계룡건설,,14650.0
12205,계양전기1우선주,계양전기우,,4080.0
12200,계양전기보통주,계양전기,,1662.0
2140,고려산업보통주,고려산업,,2815.0
49720,고려신용정보,고려신용정보,,10500.0
10130,고려아연보통주,고려아연,,482000.0
2240,고려제강보통주,고려제강,,19900.0
14570,고려제약,고려제약,,5450.0
348150,고바이오랩,고바이오랩,,8240.0
950190,고스트스튜디오,고스트스튜디오,,10270.0
98460,고영테크놀러지,고영,,10900.0
35290,골드앤에스,골드앤에스,,547.0
215000,골프존,골프존,,72800.0
121440,골프존뉴딘홀딩스,골프존뉴딘홀딩스,,3610.0
366030,공구우먼,공구우먼,,5050.0
76340,관악산업,관악산업,,5400.0
9290,광동제약보통주,광동제약,,6640.0
86220,광동헬스바이오,광동헬스바이오,,2525.0
14200,광림,광림,,1006.0
17040,광명전기보통주,광명전기,,2005.0
29480,광무,광무,,4015.0
17900,광전자보통주,광전자,,2040.0
37710,광주신세계보통주,광주신세계,,29100.0
26910,광진실업,광진실업,,2730.0
421800,교보12호기업인수목적,교보12호스팩,,2395.0
440790,교보13호기업인수목적,교보13호스팩,,2265.0
456490,교보14호기업인수목적,교보14호스팩,,2210.0
465320,교보15호기업인수목적,교보15호스팩,,2180.0
30610,교보증권보통주,교보증권,,5050.0
