단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
003570,SNT다이내믹스보통주,SNT다이내믹스,,24750.0
064960,SNT모티브보통주,SNT모티브,,44850.0
100840,SNT에너지보통주,SNT에너지,,12410.0
036530,SNT홀딩스보통주,SNT홀딩스,,23000.0
005610,SPC삼립보통주,SPC삼립,,50300.0
465770,STX그린로지스보통주,STX그린로지스,,11700.0
011810,STX보통주,STX,,5210.0
077970,STX엔진보통주,STX엔진,,19450.0
071970,STX중공업보통주,STX중공업,,19810.0
084870,TBH글로벌보통주,TBH글로벌,,1445.0
002710,TCC스틸보통주,TCC스틸,,48850.0
024070,WISCOM보통주,WISCOM,,2150.0
079940,가비아,가비아,,14320.0
078890,가온그룹,가온그룹,,3900.0
000500,가온전선보통주,가온전선,,37400.0
399720,가온칩스,가온칩스,,43800.0
296520,가이아코퍼레이션,가이아코퍼레이션,,778.0
036620,감성코퍼레이션,감성코퍼레이션,,3685.0
000860,강남제비스코보통주,강남제비스코,,26150.0
198440,강동씨앤엘,강동씨앤엘,,1616.0
217730,강스템바이오텍,강스템바이오텍,,1918.0
035250,강원랜드보통주,강원랜드,,16640.0
114190,강원에너지,강원에너지,,14540.0
094480,갤럭시아머니트리,갤럭시아머니트리,,7890.0
011420,갤럭시아에스엠보통주,갤럭시아에스엠,,2340.0
039240,경남스틸,경남스틸,,2845.0
053950,경남제약,경남제약,,701.0
002100,경농보통주,경농,,9150.0
009450,경동나비엔보통주,경동나비엔,,79800.0
267290,경동도시가스보통주,경동도시가스,,18880.0
012320,경동인베스트보통주,경동인베스트,,76900.0
011040,경동제약,경동제약,,6210.0
000050,경방보통주,경방,,6360.0
214390,경보제약보통주,경보제약,,7440.0
012610,경인양행보통주,경인양행,,3200.0
009140,경인전자보통주,경인전자,,20650.0
024910,경창산업,경창산업,,2295.0
013580,계룡건설산업보통주,계룡건설,,13820.0
012205,계양전기1우선주,계양전기우,,3930.0
012200,계양전기보통주,계양전기,,1555.0
002140,고려산업보통주,고려산업,,2740.0
049720,고려신용정보,고려신용정보,,10040.0
010130,고려아연보통주,고려아연,,794000.0
002240,고려제강보통주,고려제강,,19220.0
014570,고려제약,고려제약,,4995.0
348150,고바이오랩,고바이오랩,,6220.0
950190,고스트스튜디오,고스트스튜디오,,10900.0
098460,고영테크놀러지,고영,,10380.0
035290,골드앤에스,골드앤에스,,501.0
215000,골프존,골프존,,69700.0
121440,골프존뉴딘홀딩스,골프존뉴딘홀딩스,,4215.0
366030,공구우먼,공구우먼,,4670.0
076340,관악산업,관악산업,,5250.0
009290,광동제약보통주,광동제약,,5770.0
086220,광동헬스바이오,광동헬스바이오,,1910.0
014200,광림,광림,,1006.0
017040,광명전기보통주,광명전기,,1635.0
029480,광무,광무,,4350.0
017900,광전자보통주,광전자,,1875.0
037710,광주신세계보통주,광주신세계,,29150.0
026910,광진실업,광진실업,,2300.0
421800,교보12호기업인수목적,교보12호스팩,,2225.0
440790,교보13호기업인수목적,교보13호스팩,,2195.0
456490,교보14호기업인수목적,교보14호스팩,,2170.0
465320,교보15호기업인수목적,교보15호스팩,,2140.0
030610,교보증권보통주,교보증권,,5450.0
339770,교촌에프앤비보통주,교촌에프앤비,,8950.0
053270,구영테크,구영테크,,2280.0
007690,국도화학보통주,국도화학,,32750.0
005320,국동보통주,국동,,501.0
066620,국보디자인,국보디자인,,16970.0
001140,국보보통주,국보,,2110.0
043650,국순당,국순당,,4815.0
006050,국영지앤엠,국영지앤엠,,1852.0
060480,국일신동,국일신동,,2045.0
078130,국일제지,국일제지,,800.0
307750,국전약품,국전약품,,4285.0
002720,국제약품보통주,국제약품,,5400.0
243870,굿센,굿센,,7630.0
035080,그래디언트,그래디언트,,11460.0
114090,그랜드코리아레저보통주,GKL,,11230.0
900290,그레이트리치과기유한공사,GRT,,3430.0
453450,그리드위즈,그리드위즈,,24150.0
204020,그리티,그리티,,2840.0
402490,그린리소스,그린리소스,,19000.0
114450,그린생명과학,그린생명과학,,2155.0
083420,그린케미칼보통주,그린케미칼,,6360.0
186230,그린플러스,그린플러스,,9950.0
014530,극동유화보통주,극동유화,,3850.0
083450,글로벌스탠다드테크놀로지,GST,,16410.0
900070,글로벌에스엠테크리미티드,글로벌에스엠,,439.0
204620,글로벌텍스프리,글로벌텍스프리,,3585.0
019660,글로본,글로본,,566.0
014285,금강공업1우선주,금강공업우,,7480.0
014280,금강공업보통주,금강공업,,4370.0
053260,금강철강,금강철강,,4820.0
008870,금비보통주,금비,,56600.0
282720,금양그린파워,금양그린파워,,10730.0
001570,금양보통주,금양,,52400.0
002995,금호건설1우선주,금호건설우,,9300.0
002990,금호건설보통주,금호건설,,3155.0
011785,금호석유화학1우선주,금호석유우,,65800.0
011780,금호석유화학보통주,금호석유,,142700.0
214330,금호에이치티보통주,금호에이치티,,621.0
001210,금호전기보통주,금호전기,,926.0
073240,금호타이어보통주,금호타이어,,4335.0
036190,금화피에스시,금화피에스시,,28100.0
049080,기가레인,기가레인,,732.0
420770,기가비스,기가비스,,39000.0
035460,기산텔레콤,기산텔레콤,,1715.0
092440,기신정기 보통주,기신정기,,2635.0
000270,기아보통주,기아,,101100.0
456700,길교이앤씨,길교이앤씨,,19600.0
013700,까뮤이앤씨보통주,까뮤이앤씨,,1323.0
308100,까스텔바작,까스텔바작,,3230.0
004545,깨끗한나라1우선주,깨끗한나라우,,12300.0
004540,깨끗한나라보통주,깨끗한나라,,2190.0
407400,꿈비,꿈비,,6530.0
187790,나노,나노,,1025.0
286750,나노브릭,나노브릭,,2010.0
121600,나노신소재,나노신소재,,93400.0
247660,나노씨엠에스,나노씨엠에스,,8520.0
039860,나노엔텍,나노엔텍,,3830.0
091970,나노캠텍,나노캠텍,,711.0
417010,나노팀,나노팀,,10550.0
244880,나눔테크,나눔테크,,2495.0
405920,나라셀라,나라셀라,,3925.0
288490,나라소프트,나라소프트,,62.0
051490,나라엠앤디,나라엠앤디,,4845.0
137080,나래나노텍,나래나노텍,,3795.0
190510,나무가,나무가,,12760.0
242040,나무기술,나무기술,,1549.0
089600,나스미디어,나스미디어,,16190.0
293580,나우아이비캐피탈,나우IB,,960.0
257990,나우코스,나우코스,,4930.0
138610,나이벡,나이벡,,18040.0
130580,나이스디앤비,나이스디앤비,,5100.0
036800,나이스정보통신,나이스정보통신,,18940.0
030190,나이스평가정보보통주,NICE평가정보,,10570.0
267320,나인테크,나인테크,,2385.0
001260,남광토건보통주,남광토건,,6270.0
008355,남선알미늄1우선주,남선알미우,,18190.0
008350,남선알미늄보통주,남선알미늄,,1409.0
004270,남성보통주,남성,,1410.0
003925,남양유업1우선주,남양유업우,,395000.0
003920,남양유업보통주,남양유업,,577000.0
025860,남해화학보통주,남해화학,,6590.0
111710,남화산업,남화산업,,4900.0
091590,남화토건,남화토건,,4125.0
168330,내츄럴엔도텍,내츄럴엔도텍,,1670.0
094860,네오리진,네오리진,,1409.0
253590,네오셈,네오셈,,11710.0
212560,네오오토,네오오토,,9040.0
095660,네오위즈,네오위즈,,20900.0
042420,네오위즈홀딩스,네오위즈홀딩스,,19500.0
950220,네오이뮨텍,네오이뮨텍,,1447.0
311390,네오크레마,네오크레마,,6900.0
085910,네오티스,네오티스,,3515.0
092730,네오팜,네오팜,,25000.0
290660,네오펙트,네오펙트,,933.0
306620,네온테크,네온테크,,2015.0
153460,네이블,네이블,,6360.0
007390,네이처셀,네이처셀,,9800.0
033640,네패스,네패스,,8240.0
330860,네패스아크,네패스아크,,13600.0
005725,넥센1우선주,넥센우,,3120.0
005720,넥센보통주,넥센,,4500.0
002355,넥센타이어1우선주(신형),넥센타이어1우B,,3170.0
002350,넥센타이어보통주,넥센타이어,,7030.0
089140,넥스턴바이오사이언스,넥스턴바이오,,2985.0
137940,넥스트아이,넥스트아이,,409.0
160550,넥스트엔터테인먼트월드,NEW,,2580.0
396270,넥스트칩,넥스트칩,,11960.0
348210,넥스틴,넥스틴,,55600.0
092790,넥스틸보통주,넥스틸,,8130.0
225570,넥슨게임즈,넥슨게임즈,,15190.0
217270,넵튠,넵튠,,5440.0
251270,넷마블보통주,넷마블,,59400.0
317860,노드메이슨,노드메이슨,,6180.0
104620,노랑풍선,노랑풍선,,4950.0
090355,노루페인트 1우선주,노루페인트우,,13830.0
090350,노루페인트 보통주,노루페인트,,9010.0
000325,노루홀딩스1우선주,노루홀딩스우,,29950.0
000320,노루홀딩스보통주,노루홀딩스,,13880.0
194700,노바렉스,노바렉스,,10190.0
285490,노바텍,노바텍,,12850.0
283100,노보믹스,노보믹스,,646.0
145170,노브랜드,노브랜드,,14130.0
229500,노브메타파마,노브메타파마,,4750.0
106520,노블엠앤비,노블엠앤비,,411.0
376930,노을,노을,,3030.0
006280,녹십자보통주,녹십자,,159600.0
142280,녹십자엠에스,녹십자엠에스,,3935.0
234690,녹십자웰빙,녹십자웰빙,,12460.0
005257,녹십자홀딩스2우선주(신형),녹십자홀딩스2우,,24650.0
005250,녹십자홀딩스보통주,녹십자홀딩스,,15760.0
065560,녹원씨엔아이,녹원씨엔아이,,
004370,농심보통주,농심,,382000.0
072710,농심홀딩스보통주,농심홀딩스,,66500.0
154030,농업회사법인 아시아종묘,아시아종묘,,2425.0
403490,농업회사법인 우듬지팜,우듬지팜,,1859.0
054050,농업회사법인농우바이오,농우바이오,,7210.0
069140,누리플랜,누리플랜,,1411.0
040160,누리플렉스,누리플렉스,,2685.0
332290,누보,누보,,1178.0
348340,뉴로메카,뉴로메카,,22950.0
060260,뉴보텍,뉴보텍,,1170.0
123840,뉴온,뉴온,,244.0
012340,뉴인텍,뉴인텍,,556.0
214870,뉴지랩파마,뉴지랩파마,,6920.0
270870,뉴트리,뉴트리,,9550.0
144960,뉴파워프라즈마,뉴파워프라즈마,,4985.0
085670,뉴프렉스,뉴프렉스,,5860.0
064260,다날,다날,,3220.0
340360,다보링크,다보링크,,2505.0
039560,다산네트웍스,다산네트웍스,,3610.0
154040,다산솔루에타,다산솔루에타,,1380.0
058730,다스코보통주,다스코,,3220.0
030210,다올투자증권보통주,다올투자증권,,2980.0
023590,다우기술보통주,다우기술,,18420.0
032190,다우데이타,다우데이타,,11060.0
323350,다원넥스뷰,다원넥스뷰,,7000.0
068240,다원시스,다원시스,,10580.0
145210,다이나믹디자인보통주,다이나믹디자인,,3095.0
019680,대교보통주,대교,,2130.0
019685,대교우선주(신형),대교우B,,1389.0
006370,대구백화점보통주,대구백화점,,7450.0
00806K,대덕1우선주,대덕1우,,6540.0
008060,대덕보통주,대덕,,6200.0
353200,대덕전자보통주,대덕전자,,18030.0
35320K,대덕전자우선주,대덕전자1우,,8250.0
178600,대동고려삼 주식회사,대동고려삼,,2880.0
020400,대동금속,대동금속,,6640.0
008830,대동기어,대동기어,,7500.0
000490,대동보통주,대동,,8670.0
048470,대동스틸,대동스틸,,3770.0
008110,대동전자보통주,대동전자,,15040.0
004780,대륙제관,대륙제관,,4165.0
005750,대림B&Co보통주,대림B&Co,,3520.0
017650,대림제지,대림제지,,7000.0
006570,대림통상보통주,대림통상,,2900.0
007720,대명소노시즌,대명소노시즌,,1110.0
389260,대명에너지,대명에너지,,13560.0
317850,대모엔지니어링,대모,,9820.0
290670,대보마그네틱,대보마그네틱,,17830.0
078140,대봉엘에스,대봉엘에스,,20800.0
065150,대산에프앤비,대산F&B,,145.0
001685,대상1우선주,대상우,,16410.0
001680,대상보통주,대상,,20250.0
084695,대상홀딩스 1우선주,대상홀딩스우,,18980.0
084690,대상홀딩스 보통주,대상홀딩스,,8480.0
036480,대성미생물연구소,대성미생물,,10100.0
128820,대성산업보통주,대성산업,,3525.0
117580,대성에너지보통주,대성에너지,,9820.0
027830,대성창업투자,대성창투,,1569.0
104040,대성파인텍,대성파인텍,,995.0
129920,대성하이텍,대성하이텍,,4275.0
016710,대성홀딩스보통주,대성홀딩스,,7970.0
438220,대신밸런스제13호기업인수목적,대신밸런스제13호스팩,,2600.0
442310,대신밸런스제14호기업인수목적,대신밸런스제14호스팩,,2285.0
457390,대신밸런스제15호기업인수목적,대신밸런스제15호스팩,,2350.0
457630,대신밸런스제16호기업인수목적,대신밸런스제16호스팩,,2195.0
471050,대신밸런스제17호기업인수목적,대신밸런스제17호스팩,,2125.0
020180,대신정보통신,대신정보통신,,901.0
003545,대신증권1우선주,대신증권우,,15470.0
003547,대신증권2우선주(신형),대신증권2우B,,14860.0
003540,대신증권보통주,대신증권,,16610.0
045390,대아티아이,대아티아이,,2555.0
009190,대양금속보통주,대양금속,,1786.0
108380,대양전기공업,대양전기공업,,12030.0
014160,대영포장보통주,대영포장,,1103.0
047040,대우건설보통주,대우건설,,3790.0
009320,대우전자부품보통주,대우부품,,1097.0
003090,대웅보통주,대웅,,27400.0
069620,대웅제약보통주,대웅제약,,161100.0
007680,대원,대원,,4345.0
000430,대원강업보통주,대원강업,,4015.0
048910,대원미디어,대원미디어,,8390.0
005710,대원산업,대원산업,,5970.0
006345,대원전선1우선주,대원전선우,,3975.0
006340,대원전선보통주,대원전선,,2910.0
003220,대원제약보통주,대원제약,,14670.0
024890,대원화성보통주,대원화성,,1225.0
290380,대유,대유,,2300.0
002880,대유에이텍,대유에이텍,,1097.0
000300,대유플러스보통주,대유플러스,,241.0
120240,대정화금,대정화금,,14630.0
003310,대주산업,대주산업,,1411.0
114920,대주이엔티 주식회사,대주이엔티,,2795.0
078600,대주전자재료,대주전자재료,,117900.0
015230,대창단조보통주,대창단조,,5060.0
012800,대창보통주,대창,,1299.0
096350,대창솔루션,대창솔루션,,379.0
140520,대창스틸,대창스틸,,2285.0
131220,대한과학,대한과학,,4970.0
010170,대한광통신,대한광통신,,1006.0
054670,대한뉴팜,대한뉴팜,,8230.0
001070,대한방직보통주,대한방직,,6040.0
023910,대한약품공업,대한약품,,26000.0
006650,대한유화보통주,대한유화,,108100.0
001440,대한전선보통주,대한전선,,12130.0
084010,대한제강 보통주,대한제강,,13730.0
001795,대한제당1우선주,대한제당우,,2605.0
001790,대한제당보통주,대한제당,,2915.0
001130,대한제분보통주,대한제분,,138900.0
003495,대한항공1우선주,대한항공우,,22850.0
003490,대한항공보통주,대한항공,,21700.0
005880,대한해운보통주,대한해운,,1861.0
003830,대한화섬보통주,대한화섬,,120800.0
016090,대현보통주,대현,,2120.0
069460,대호에이엘보통주,대호에이엘,,1086.0
021040,대호특수강,대호특수강,,1700.0
021045,대호특수강1우선주,대호특수강우,,3540.0
067080,대화제약,대화제약,,19500.0
043090,더 테크놀로지,더테크놀로지,,565.0
298540,더네이쳐홀딩스,더네이쳐홀딩스,,10430.0
032860,더라미,더라미,,3640.0
192080,더블유게임즈보통주,더블유게임즈,,49750.0
393890,더블유씨피,더블유씨피,,19280.0
299170,더블유에스아이,더블유에스아이,,1530.0
089230,더이앤엠,THE E&M,,1323.0
012510,더존비즈온보통주,더존비즈온,,47800.0
224060,더코디,더코디,,4905.0
302920,더콘텐츠온,더콘텐츠온,,7200.0
213420,덕산네오룩스,덕산네오룩스,,29000.0
317330,덕산테코피아,덕산테코피아,,45150.0
077360,덕산하이메탈,덕산하이메탈,,5080.0
004835,덕성1우선주,덕성우,,10020.0
004830,덕성보통주,덕성,,6640.0
090410,덕신이피씨,덕신이피씨,,1446.0
024900,덕양산업보통주,덕양산업,,3525.0
263600,덕우전자,덕우전자,,6230.0
194480,데브시스터즈,데브시스터즈,,37050.0
263800,데이타솔루션,데이타솔루션,,4540.0
199150,데이터스트림즈,데이터스트림즈,,3400.0
206560,덱스터스튜디오,덱스터,,7600.0
261200,덴티스,덴티스,,7600.0
145720,덴티움보통주,덴티움,,78900.0
227420,도부마스크,도부마스크,,1808.0
067990,도이치모터스,도이치모터스,,4720.0
002150,도화엔지니어링보통주,도화엔지니어링,,6740.0
006620,동구바이오제약,동구바이오제약,,5820.0
005160,동국산업,동국산업,,7000.0
460850,동국씨엠보통주,동국씨엠,,6510.0
075970,동국알앤에스,동국알앤에스,,2530.0
100130,동국에스엔씨,동국S&C,,2705.0
460860,동국제강보통주,동국제강,,9570.0
086450,동국제약,동국제약,,17670.0
001230,동국홀딩스보통주,동국홀딩스,,8070.0
004140,동방보통주,동방,,2520.0
099410,동방선기,동방선기,,2695.0
007590,동방아그로보통주,동방아그로,,6170.0
005965,동부건설1우선주,동부건설우,,22050.0
005960,동부건설보통주,동부건설,,4190.0
026960,동서보통주,동서,,19100.0
002210,동성제약보통주,동성제약,,4530.0
102260,동성케미컬보통주,동성케미컬,,4390.0
033500,동성화인텍,동성화인텍,,11180.0
025950,동신건설,동신건설,,20650.0
000640,동아쏘시오홀딩스보통주,동아쏘시오홀딩스,,116900.0
170900,동아에스티보통주,동아에스티,,76400.0
088130,동아엘텍,동아엘텍,,8880.0
028100,동아지질보통주,동아지질,,12510.0
282690,동아타이어공업보통주,동아타이어,,
041930,동아화성,동아화성,,7190.0
001525,동양1우선주,동양우,,4355.0
001527,동양2우선주(신형),동양2우B,,9570.0
084670,동양고속보통주,동양고속,,8750.0
001520,동양보통주,동양,,794.0
082640,동양생명보험보통주,동양생명,,5800.0
060380,동양에스텍,동양에스텍,,1526.0
079960,동양이엔피,동양이엔피,,20300.0
008970,동양철관보통주,동양철관,,872.0
228340,동양파일,동양파일,,2060.0
092780,동양피스톤보통주,동양피스톤,,5760.0
088910,동우팜투테이블,동우팜투테이블,,2025.0
094170,동운아나텍,동운아나텍,,18780.0
049770,동원F&B보통주,동원F&B,,32750.0
013120,동원개발,동원개발,,2620.0
018500,동원금속보통주,동원금속,,1314.0
006040,동원산업보통주,동원산업,,32500.0
030720,동원수산보통주,동원수산,,5820.0
014825,동원시스템즈1우선주,동원시스템즈우,,22200.0
014820,동원시스템즈보통주,동원시스템즈,,51500.0
111380,동인기연보통주,동인기연,,21000.0
163560,동일고무벨트보통주,동일고무벨트,,7450.0
109860,동일금속,동일금속,,8850.0
032960,동일기연,동일기연,,11390.0
004890,동일산업보통주,동일산업,,41050.0
002690,동일제강보통주,동일제강,,1559.0
023790,동일철강,동일철강,,1306.0
005290,동진쎄미켐,동진쎄미켐,,28800.0
025900,동화기업,동화기업,,13070.0
000020,동화약품보통주,동화약품,,7730.0
000155,두산1우선주,두산우,,84300.0
000157,두산2우선주(신형),두산2우B,,83300.0
454910,두산로보틱스보통주,두산로보틱스,,61400.0
241560,두산밥캣보통주,두산밥캣,,40350.0
000150,두산보통주,두산,,182900.0
034020,두산에너빌리티보통주,두산에너빌리티,,18100.0
131970,두산테스나,두산테스나,,30700.0
33626K,두산퓨얼셀1우선주,두산퓨얼셀1우,,5470.0
33626L,두산퓨얼셀2우선주(신형),두산퓨얼셀2우B,,8930.0
336260,두산퓨얼셀보통주,두산퓨얼셀,,17810.0
016740,두올보통주,두올,,3495.0
073190,듀오백,듀오백,,2595.0
176750,듀켐바이오,듀켐바이오,,15400.0
030350,드래곤플라이,드래곤플라이,,258.0
203650,드림시큐리티,드림시큐리티,,3155.0
223250,드림씨아이에스,드림씨아이에스,,3600.0
060570,드림어스컴퍼니,드림어스컴퍼니,,1817.0
362990,드림인사이트,드림인사이트,,2185.0
192650,드림텍보통주,드림텍,,8960.0
217620,디딤이앤에프,디딤이앤에프,,381.0
016670,디모아,디모아,,4565.0
187870,디바이스이엔지,디바이스이엔지,,13640.0
456440,디비금융제11호기업인수목적,DB금융스팩11호,,2300.0
477760,디비금융제12호기업인수목적,DB금융스팩12호,,2065.0
024090,디씨엠보통주,디씨엠,,12360.0
003160,디아이보통주,디아이,,16960.0
092200,디아이씨 보통주,디아이씨,,3955.0
110990,디아이티,디아이티,,14250.0
004840,디알비동일보통주,DRB동일,,4645.0
263690,디알젬,디알젬,,7550.0
214680,디알텍,디알텍,,3090.0
347850,디앤디파마텍,디앤디파마텍,,43400.0
377190,디앤디플랫폼리츠보통주,디앤디플랫폼리츠,,3325.0
263720,디앤씨미디어,디앤씨미디어,,18720.0
376300,디어유,디어유,,20900.0
241520,디에스씨인베스트먼트,DSC인베스트먼트,,2880.0
109740,디에스케이,디에스케이,,5240.0
290120,디에이치오토리드,DH오토리드,,2830.0
025440,디에이치오토웨어,DH오토웨어,,208.0
196490,디에이테크놀로지,디에이테크놀로지,,203.0
066900,디에이피,디에이피,,2330.0
180400,디엑스앤브이엑스,DXVX,,2795.0
127120,디엔에이링크,디엔에이링크,,3735.0
092070,디엔에프,디엔에프,,11580.0
007340,디엔오토모티브보통주,DN오토모티브,,18650.0
068790,디엠에스,DMS,,5480.0
039840,디오,디오,,16400.0
219550,디와이디,디와이디,,521.0
013570,디와이보통주,디와이,,4860.0
310870,디와이씨,디와이씨,,1126.0
210540,디와이파워보통주,디와이파워,,12620.0
104460,디와이피엔에프,디와이피엔에프,,12850.0
079810,디이엔티,디이엔티,,8320.0
113810,디젠스,디젠스,,894.0
043360,디지아이,디지아이,,2255.0
197140,디지캡,디지캡,,2730.0
068930,디지털대성,디지털대성,,7270.0
033130,디지틀조선일보,디지틀조선,,1584.0
060900,디지피,DGP,,1243.0
105740,디케이락,디케이락,,7790.0
263020,디케이앤디,디케이앤디,,3470.0
290550,디케이티,디케이티,,9210.0
066670,디티씨,디티씨,,3350.0
187220,디티앤씨,디티앤씨,,3210.0
383930,디티앤씨알오,디티앤씨알오,,7040.0
131180,딜리,딜리,,1020.0
315640,딥노이드,딥노이드,,5750.0
223310,딥마인드플랫폼,딥마인드,,2220.0
317120,라닉스,라닉스,,3720.0
462510,라메디텍,라메디텍,,11960.0
042510,라온시큐어,라온시큐어,,1998.0
