단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
001390,KG케미칼보통주,KG케미칼,,3950.0
033180,KH 필룩스보통주,KH 필룩스,,6630.0
001940,KISCO홀딩스보통주,KISCO홀딩스,,21650.0
025000,KPX케미칼보통주,KPX케미칼,,46800.0
092230,KPX홀딩스보통주,KPX홀딩스,,55700.0
000040,KR모터스보통주,KR모터스,,539.0
093050,LF보통주,LF,,14810.0
003555,LG1우선주,LG우,,58700.0
034220,LG디스플레이보통주,LG디스플레이,,10170.0
003550,LG보통주,LG,,75200.0
051905,LG생활건강1우선주,LG생활건강우,,145000.0
051900,LG생활건강보통주,LG생활건강,,347000.0
373220,LG에너지솔루션보통주,LG에너지솔루션,,398500.0
032640,LG유플러스보통주,LG유플러스,,9950.0
011070,LG이노텍보통주,LG이노텍,,172100.0
066575,LG전자1우선주,LG전자우,,46400.0
066570,LG전자보통주,LG전자,,91200.0
051915,LG화학1우선주,LG화학우,,207000.0
051910,LG화학보통주,LG화학,,303000.0
079550,LIG넥스원보통주,LIG넥스원,,261000.0
010120,LS ELECTRIC보통주,LS ELECTRIC,,162000.0
000680,LS네트웍스보통주,LS네트웍스,,3315.0
006260,LS보통주,LS,,115500.0
229640,LS에코에너지보통주,LS에코에너지,,28800.0
108320,LX세미콘보통주,LX세미콘,,60200.0
001120,LX인터내셔널보통주,LX인터내셔널,,29350.0
086960,MDS테크,MDS테크,,1072.0
023150,MH에탄올보통주,MH에탄올,,5570.0
035420,NAVER보통주,NAVER,,174600.0
181710,NHN보통주,NHN,,16250.0
338100,NH프라임리츠보통주,NH프라임리츠,,4630.0
034310,NICE보통주,NICE,,11070.0
008260,NI스틸보통주,NI스틸,,3765.0
004255,NPC1우선주,NPC우,,2630.0
004250,NPC보통주,NPC,,4970.0
456040,OCI보통주,OCI,,65300.0
010955,S-Oil1우선주,S-Oil우,,41350.0
010950,S-Oil보통주,S-Oil,,59300.0
950110,SBI핀테크솔루션즈,SBI핀테크솔루션즈,,3240.0
005090,SGC에너지보통주,SGC에너지,,25950.0
001380,SG글로벌보통주,SG글로벌,,3020.0
001770,SHD보통주,SHD,,17060.0
002360,SH에너지화학보통주,SH에너지화학,,564.0
009160,SIMPAC보통주,SIMPAC,,3915.0
123700,SJM보통주,SJM,,3300.0
025530,SJM홀딩스보통주,SJM홀딩스,,3560.0
03473K,SK1우선주,SK우,,129900.0
011790,SKC보통주,SKC,,127100.0
018670,SK가스보통주,SK가스,,206500.0
001740,SK네트웍스보통주,SK네트웍스,,4990.0
210980,SK디앤디보통주,SK디앤디,,7740.0
395400,SK리츠보통주,SK리츠,,4540.0
034730,SK보통주,SK,,150900.0
402340,SK스퀘어보통주,SK스퀘어,,95100.0
260870,SK시그넷,SK시그넷,,19670.0
361610,SK아이이테크놀로지보통주,SK아이이테크놀로지,,30100.0
100090,SK오션플랜트보통주,SK오션플랜트,,12910.0
096775,SK이노베이션 1우선주,SK이노베이션우,,76500.0
096770,SK이노베이션 보통주,SK이노베이션,,111100.0
001515,SK증권1우선주,SK증권우,,1789.0
001510,SK증권보통주,SK증권,,506.0
28513K,SK케미칼1우선주,SK케미칼우,,21250.0
285130,SK케미칼보통주,SK케미칼,,46000.0
017670,SK텔레콤보통주,SK텔레콤,,56400.0
003570,SNT다이내믹스보통주,SNT다이내믹스,,26150.0
064960,SNT모티브보통주,SNT모티브,,43400.0
100840,SNT에너지보통주,SNT에너지,,14520.0
036530,SNT홀딩스보통주,SNT홀딩스,,23200.0
005610,SPC삼립보통주,SPC삼립,,48350.0
465770,STX그린로지스보통주,STX그린로지스,,10280.0
011810,STX보통주,STX,,5230.0
077970,STX엔진보통주,STX엔진,,20200.0
071970,STX중공업보통주,STX중공업,,19700.0
084870,TBH글로벌보통주,TBH글로벌,,1392.0
002710,TCC스틸보통주,TCC스틸,,40000.0
024070,WISCOM보통주,WISCOM,,2085.0
079940,가비아,가비아,,13210.0
078890,가온그룹,가온그룹,,3555.0
000500,가온전선보통주,가온전선,,41550.0
399720,가온칩스,가온칩스,,40700.0
296520,가이아코퍼레이션,가이아코퍼레이션,,778.0
036620,감성코퍼레이션,감성코퍼레이션,,3255.0
000860,강남제비스코보통주,강남제비스코,,26300.0
198440,강동씨앤엘,강동씨앤엘,,1429.0
217730,강스템바이오텍,강스템바이오텍,,1888.0
035250,강원랜드보통주,강원랜드,,17280.0
114190,강원에너지,강원에너지,,11670.0
094480,갤럭시아머니트리,갤럭시아머니트리,,9200.0
011420,갤럭시아에스엠보통주,갤럭시아에스엠,,2205.0
